BL,BZ,CSDK,DD,DLYK,DTJ,DTMDQ,GL,GT,HQL,JFDQ,JM,LC,LHS,NW,PZ,STSS,WZ,XD,YA,YG,ZHDQ,ZJK,ZSGMT
1.8102604166666667,1.632261905,2.181875,2.198408496823529,2.369761905,3.560714285714286,2.2520238092857143,1.8784375,3.2938095235714284,2.1563095235714282,1.7417857142857143,3.23140000024,2.5468248889199994,3.5278645833333333,1.8808333333333334,2.2985714285714285,2.2558333335714282,1.8988095235714286,1.6117857142857144,1.7428645833333334,3.2379166666666666,2.0576190478571426,1.4419047621428571,2.313095237857143
1.813125,1.6317551022857142,2.1775,2.2179150327647057,2.3791836737142855,3.584591836734694,2.26422448955102,1.8812499999999999,3.322346938530612,2.1660612242448978,1.7446938775510203,3.23713333358,2.5468248889199994,3.534375,1.8900000000000001,2.3115306122448978,2.273142857387755,1.9009183671020409,1.6106938775510204,1.744375,3.2649999999999997,2.0596938777959184,1.4473877553469388,2.3168979589387755
1.8159895833333333,1.6312482995714286,2.1731249999999998,2.2374215687058823,2.388605442428571,3.608469387755102,2.2764251698163265,1.8840625,3.350884353489796,2.1758129249183673,1.7476020408163264,3.24286666692,2.5468248889199994,3.5408854166666663,1.8991666666666667,2.3244897959183675,2.290452381204082,1.9030272106326531,1.6096020408163265,1.7458854166666666,3.2920833333333333,2.061768707734694,1.4528707485510204,2.3207006800204084
1.8188541666666667,1.6307414968571428,2.16875,2.2569281046470584,2.398027211142857,3.6323469387755103,2.2886258500816323,1.8868749999999999,3.37942176844898,2.1855646255918364,1.7505102040816327,3.2486000002599997,2.5468248889199994,3.5473958333333333,1.9083333333333332,2.3374489795918367,2.307761905020408,1.9051360541632654,1.6085102040816326,1.7473958333333333,3.319166666666667,2.063843537673469,1.458353741755102,2.324503401102041
1.82171875,1.6302346941428572,2.164375,2.276434640588235,2.4074489798571426,3.6562244897959184,2.3008265303469386,1.8896875,3.4079591834081633,2.195316326265306,1.7534183673469388,3.2543333336,2.5468248889199994,3.55390625,1.9175,2.350408163265306,2.3250714288367345,1.9072448976938776,1.6074183673469389,1.7489062499999999,3.34625,2.0659183676122446,1.4638367349591836,2.3283061221836734
1.8245833333333334,1.6297278914285713,2.16,2.2959411765294115,2.4168707485714283,3.6801020408163265,2.313027210612245,1.8924999999999998,3.4364965983673468,2.2050680269387755,1.7563265306122449,3.26006666694,2.5468248889199994,3.5604166666666663,1.9266666666666667,2.3633673469387757,2.3423809526530612,1.9093537412244899,1.606326530612245,1.7504166666666667,3.373333333333333,2.0679931975510204,1.4693197281632653,2.3321088432653063
1.8274479166666666,1.6292210887142857,2.155625,2.315447712470588,2.426292517285714,3.7039795918367346,2.3252278908775508,1.8953125,3.4650340133265303,2.2148197276122445,1.759234693877551,3.26580000028,2.5468248889199994,3.5669270833333333,1.9358333333333333,2.376326530612245,2.3596904764693876,1.9114625847551021,1.605234693877551,1.7519270833333334,3.4004166666666666,2.070068027489796,1.474802721367347,2.335911564346939
1.8303125,1.628714286,2.15125,2.3349542484117647,2.435714286,3.727857142857143,2.337428571142857,1.8981249999999998,3.493571428285714,2.224571428285714,1.762142857142857,3.27153333362,2.5468248889199994,3.5734375,1.945,2.3892857142857142,2.3770000002857143,1.9135714282857144,1.604142857142857,1.7534375,3.4275,2.072142857428571,1.4802857145714285,2.3397142854285713
1.8331770833333334,1.6282074832857143,2.146875,2.3544607843529413,2.4451360547142857,3.751734693877551,2.349629251408163,1.9009375,3.522108843244898,2.2343231289591836,1.7650510204081633,3.27726666696,2.5468248889199994,3.5799479166666663,1.9541666666666666,2.402244897959184,2.3943095241020407,1.9156802718163266,1.6030510204081634,1.7549479166666666,3.4545833333333333,2.0742176873673466,1.4857687077755102,2.3435170065102042
1.8360416666666668,1.6277006805714285,2.1425,2.3739673202941174,2.4545578234285714,3.7756122448979594,2.361829931673469,1.9037499999999998,3.5506462582040816,2.2440748296326527,1.7679591836734694,3.2830000003,2.5468248889199994,3.5864583333333333,1.9633333333333334,2.415204081632653,2.411619047918367,1.9177891153469389,1.6019591836734695,1.7564583333333332,3.4816666666666665,2.0762925173061224,1.4912517009795918,2.3473197275918367
1.83890625,1.6271938778571429,2.138125,2.393473856235294,2.463979592142857,3.799489795918367,2.3740306119387755,1.9065625,3.579183673163265,2.2538265303061222,1.7708673469387755,3.2887333336399998,2.5468248889199994,3.59296875,1.9725,2.4281632653061225,2.428928571734694,1.919897958877551,1.6008673469387755,1.7579687499999999,3.50875,2.078367347244898,1.4967346941836734,2.351122448673469
1.8417708333333334,1.626687075142857,2.13375,2.4129803921764705,2.473401360857143,3.8233673469387757,2.3862312922040814,1.9093749999999998,3.6077210881224486,2.2635782309795918,1.7737755102040815,3.29446666698,2.5468248889199994,3.5994791666666663,1.9816666666666667,2.4411224489795917,2.4462380955510206,1.9220068024081634,1.5997755102040816,1.7594791666666667,3.535833333333333,2.080442177183673,1.502217687387755,2.354925169755102
1.8446354166666667,1.6261802724285714,2.129375,2.4324869281176467,2.4828231295714285,3.847244897959184,2.3984319724693877,1.9121875,3.6362585030816326,2.2733299316530613,1.7766836734693876,3.30020000032,2.5468248889199994,3.6059895833333333,1.9908333333333332,2.454081632653061,2.463547619367347,1.9241156459387756,1.598683673469388,1.7609895833333333,3.5629166666666663,2.0825170071224486,1.5077006805918367,2.3587278908367346
1.8475000000000001,1.6256734697142856,2.125,2.4519934640588232,2.492244898285714,3.871122448979592,2.4106326527346935,1.915,3.6647959180408165,2.2830816323265304,1.779591836734694,3.30593333366,2.5468248889199994,3.6125,2.0,2.4670408163265307,2.4808571431836732,1.9262244894693878,1.597591836734694,1.7625,3.59,2.0845918370612244,1.5131836737959183,2.3625306119183676
1.8503645833333333,1.625166667,2.120625,2.4715,2.501666667,3.895,2.422833333,1.9178125,3.693333333,2.292833333,1.7825,3.311666667,1.9915,3.6190104166666663,2.0091666666666668,2.48,2.498166667,1.928333333,1.5965,1.7640104166666666,3.6170833333333334,2.086666667,1.518666667,2.366333333
1.8532291666666667,1.6738,2.11625,2.5338,2.42,3.578333333,2.438666667,1.9206249999999998,3.048333333,2.1305,1.7195,2.988333333,1.985333333,3.6255208333333333,2.0183333333333335,2.588333333,2.544833333,1.92,1.635833333,1.7655208333333332,3.6441666666666666,2.214833333,1.480166667,2.227166667
1.85609375,1.8195,2.111875,2.331,2.325,3.465,2.400166667,1.9234375,2.888333333,2.099166667,1.862833333,2.776666667,1.991833333,3.63203125,2.0275,2.368333333,2.542,1.86,1.682166667,1.76703125,3.6712499999999997,2.291833333,1.453833333,2.335
1.8589583333333333,1.6515,2.1075,2.265833333,2.351666667,3.36,2.317166667,1.92625,2.786666667,2.032333333,1.915333333,2.723333333,2.033,3.6385416666666663,2.0366666666666666,2.406666667,2.538,1.77,1.6765,1.7685416666666667,3.6983333333333333,1.75825,1.3465,2.328333333
1.8618229166666667,1.6878,2.103125,2.286333333,2.256666667,3.371666667,2.165166667,1.9290625,2.683333333,1.95725,1.932,2.62,2.051,3.6450520833333333,2.0458333333333334,2.588333333,2.6595,1.725,1.6205,1.7700520833333333,3.725416666666667,2.027166667,1.396333333,2.592
1.8646875,1.736166667,2.09875,2.271333333,2.313333333,3.35,2.343333333,1.9318749999999998,2.853333333,1.937,1.888,2.525,1.841333333,3.6515625,2.0549999999999997,2.845,2.838,1.745,1.580333333,1.7715625,3.7525,1.78125,1.376,2.6315
1.8675520833333334,1.696833333,2.094375,2.2405,2.325,3.205,2.135,1.9346875,2.72,1.97,1.775,2.561666667,2.119,3.6580729166666663,2.0641666666666665,3.296666667,2.969333333,1.788333333,1.622333333,1.7730729166666666,3.779583333333333,1.853666667,1.472833333,2.396666667
1.8704166666666668,1.667,2.09,2.232,2.556666667,3.175,2.078333333,1.9375,2.558333333,2.043666667,1.662,2.825,2.115333333,3.6645833333333333,2.0733333333333333,2.98,3.092666667,1.78,1.627,1.7745833333333332,3.8066666666666666,1.770666667,1.540833333,2.569
1.87328125,1.569166667,2.085625,2.200833333,2.42,3.338333333,2.1775,1.9403124999999999,2.778333333,2.068,1.669666667,2.518333333,2.020333333,3.67109375,2.0825,3.08,3.045666667,1.905,1.645833333,1.77609375,3.83375,1.8285,1.526166667,2.701
1.8761458333333334,1.5265,2.08125,2.2305,2.398333333,3.395,2.224,1.943125,3.216666667,2.127333333,1.916166667,2.956666667,1.832833333,3.6776041666666663,2.091666666666667,3.221666667,2.836666667,1.981666667,1.662,1.7776041666666667,3.860833333333333,1.792333333,1.48,2.723
1.8790104166666668,1.544333333,2.076875,2.3005,2.431666667,3.274,2.126833333,1.9459374999999999,3.068333333,2.174,1.931666667,3.025,1.811833333,3.6841145833333333,2.100833333333333,3.24,2.653333333,1.978333333,1.662333333,1.7791145833333333,3.8879166666666665,1.96,1.446666667,2.5315
1.881875,1.731333333,2.0725,2.3155,2.465,3.455,2.2495,1.94875,3.691666667,2.163,2.0205,3.245,2.3885,3.690625,2.11,3.45,2.678166667,1.82,1.6495,1.780625,3.915,2.082,1.513,2.3865
