BL,BZ,CSDK,DD,DLYK,DTJ,DTMDQ,GL,GT,HQL,JFDQ,JM,LC,LHS,NW,PZ,STSS,WZ,XD,YA,YG,ZHDQ,ZJK,ZSGMT
0.03390625,0.037955782,0.0865,0.06628911595918367,0.05622312893877551,0.0937027207755102,0.07940816326530613,1.4951979166666667,0.09668707514285714,0.06867414934693877,0.04898639424489796,0.06414285714285714,0.08359716672,0.10185416666666666,0.06127083333333334,0.08726530612244898,0.05626394526530612,0.048465986081632655,0.038955781999999994,0.025635416666666667,0.13945833333333332,0.07024489795918366,0.04134353710204082,0.07869047587755103
0.033828125,0.038248299,0.08625,0.06691496630612245,0.05654319695918368,0.09369625818367347,0.07993877551020409,1.4657239583333335,0.09768027242857143,0.06921054389795919,0.049268707163265306,0.06542857142857143,0.08359716672,0.10167708333333333,0.06113541666666667,0.08851020408163265,0.055987074510204085,0.0489217683877551,0.039248299,0.025692708333333335,0.14022916666666665,0.07066326530612244,0.041590135734693875,0.07923809491836736
0.03375,0.038540816,0.086,0.06754081665306122,0.05686326497959184,0.09368979559183672,0.08046938775510204,1.43625,0.0986734697142857,0.0697469384489796,0.04955102008163265,0.06671428571428571,0.08359716672,0.1015,0.061,0.08975510204081633,0.05571020375510204,0.04937755069387755,0.039540816,0.025750000000000002,0.141,0.07108163265306122,0.04183673436734694,0.07978571395918369
0.033671875,0.038833333,0.08575,0.068166667,0.057183333,0.093683333,0.081,1.4067760416666668,0.099666667,0.070283333,0.049833333,0.068,0.0351,0.10132291666666667,0.06086458333333333,0.091,0.055433333,0.049833333,0.039833333,0.025807291666666666,0.14177083333333332,0.0715,0.042083333,0.080333333
0.03359375,0.0376,0.0855,0.067333333,0.055366667,0.079466667,0.0755,1.3773020833333334,0.073166667,0.0604,0.05,0.0625,0.046383333,0.10114583333333334,0.06072916666666667,0.095166667,0.051283333,0.0515,0.041166667,0.025864583333333333,0.14254166666666668,0.103333333,0.040466667,0.0685
0.033515625,0.05,0.08525,0.062,0.057716667,0.072983333,0.071833333,1.3478281250000002,0.0725,0.056616667,0.051666667,0.053333333,0.043433333,0.10096875,0.06059375,0.088166667,0.0499,0.050833333,0.0395,0.025921875,0.1433125,0.217166667,0.039866667,0.071
0.033437499999999995,0.040666667,0.085,0.056333333,0.057033333,0.069,0.065666667,1.3183541666666667,0.067666667,0.05415,0.051833333,0.054166667,0.0427,0.10079166666666667,0.060458333333333336,0.088666667,0.04885,0.048833333,0.037666667,0.025979166666666668,0.14408333333333334,0.0635,0.034233333,0.065
0.033359375,0.038,0.08475,0.054166667,0.0551,0.067633333,0.065666667,1.2888802083333335,0.066666667,0.052125,0.054166667,0.0475,0.067416667,0.10061458333333334,0.06032291666666667,0.090833333,0.0494,0.047166667,0.039,0.026036458333333335,0.14485416666666667,0.100333333,0.03505,0.082166667
0.03328125,0.042666667,0.0845,0.057833333,0.057633333,0.06765,0.075,1.25940625,0.072,0.051666667,0.055,0.042833333,0.048166667,0.1004375,0.060187500000000005,0.096666667,0.048066667,0.048166667,0.039666667,0.02609375,0.145625,0.0605,0.034483333,0.086
0.033203125,0.047666667,0.08425,0.052833333,0.060833333,0.059666667,0.070166667,1.2299322916666668,0.063,0.05326,0.056666667,0.046333333,0.046016667,0.10026041666666667,0.06005208333333333,0.1145,0.049233333,0.048,0.034833333,0.026151041666666666,0.14639583333333334,0.0825,0.03475,0.0744
0.033125,0.031333333,0.084,0.0506,0.0758,0.061116667,0.075333333,1.2004583333333334,0.0595,0.056833333,0.058333333,0.054166667,0.0486,0.10008333333333333,0.05991666666666667,0.106833333,0.05165,0.044166667,0.035,0.026208333333333333,0.14716666666666667,0.060666667,0.033716667,0.077666667
0.033046874999999996,0.052,0.08375,0.0515,0.0673,0.066,0.071333333,1.1709843750000002,0.072,0.060633333,0.061833333,0.050333333,0.048583333,0.09990625,0.05978125,0.104666667,0.053233333,0.044833333,0.036333333,0.026265625,0.1479375,0.042333333,0.028816667,0.0885
